chunk_id,has_duplication,chunk_size,resolution_size
776662,False,25,13
776782,False,121,102
776793,False,13,6
776828,False,12,4
776863,False,13,6
776915,False,12,2
776918,False,11,3
776929,False,10,3
776931,False,14,5
776942,False,12,5
776948,False,52,45
776951,False,10,3
776972,False,13,6
776973,False,16,2
777042,False,14,4
779859,False,13,2
777089,False,84,71
777082,False,37,19
777222,False,12,4
777238,False,10,2
777216,False,12,5
777218,False,11,3
777285,False,11,3
777286,False,15,6
777288,False,12,4
777367,False,1420,745
777309,False,28,20
777310,False,15,7
777313,False,21,12
777316,False,11,2
777318,False,24,13
777328,False,30,13
777352,False,35,9
777364,False,54,34
777370,False,12,6
777371,False,142,92
777405,False,1657,865
777450,False,29,17
777577,False,54,32
777582,False,11,3
777871,False,13,6
777498,False,25,8
777507,False,42,25
777537,False,11,6
777675,False,15,5
777703,False,11,3
777705,False,11,3
777702,False,12,4
777715,False,14,6
777717,False,10,3
777726,False,13,5
777741,False,12,4
777744,False,10,3
777748,False,10,3
777749,False,9,2
777775,False,11,2
777777,False,15,6
777778,False,11,4
777779,False,13,5
777783,False,11,4
777784,False,14,7
777789,False,21,9
777790,False,17,10
777793,False,65,58
777800,False,11,3
777803,False,16,3
777806,False,15,5
777807,False,11,3
777808,False,11,3
777809,False,11,3
777822,False,11,3
777825,False,11,3
777826,False,12,4
777852,False,17,9
777854,False,25,13
777856,False,16,10
777903,False,11,3
777947,False,28,8
777939,False,10,2
777940,False,10,2
777942,False,28,17
777948,False,10,2
777949,False,10,2
777950,False,20,13
777952,False,10,2
777954,False,10,2
777955,False,12,5
777956,False,14,7
777957,False,10,2
777958,False,30,23
777959,False,11,6
777962,False,11,4
777964,False,16,9
777967,False,25,18
777972,False,11,3
777975,False,13,6
777978,False,19,11
777981,False,16,9
778012,False,12,3
778040,False,75,50
778046,False,10,3
778052,False,34,21
778116,False,9,2
778117,False,92,36
778141,False,18,7
778178,False,35,5
778209,False,10,2
778211,False,9,2
778156,False,42,2
778189,False,10,3
778202,False,10,3
778294,False,14,3
778448,False,238,54
778498,False,145,130
778518,False,21,14
778586,False,49,28
778595,False,20,8
778599,False,11,4
778608,False,76,40
778610,False,26,10
778412,False,20,3
778415,False,12,4
778416,False,35,9
778423,False,11,3
778424,False,13,5
778473,False,11,3
778476,False,896,465
778508,False,846,466
778702,False,14,6
778722,False,33,14
778727,False,18,11
778729,False,13,4
778731,False,11,3
778732,False,15,8
778739,False,13,6
778747,False,11,4
778768,False,10,3
778783,False,13,5
778786,False,23,14
778845,False,569,233
778894,False,49,23
778900,False,84,40
778943,False,81,38
778977,False,19,2
778979,False,132,31
778998,False,95,50
779007,False,97,47
778801,False,48,41
778868,False,30,11
778886,False,10,2
779095,False,21,8
779457,False,17,6
779501,False,28,11
779040,False,82,41
779049,False,64,30
779054,False,80,39
779064,False,65,31
779083,False,81,38
779100,False,623,311
779228,False,52,15
779255,False,113,57
779326,False,3874,1800
779738,False,28,15
779745,False,169,84
779789,False,14,11
779792,False,75,39
779794,False,76,38
779797,False,617,310
779802,False,16,10
779807,False,20,9
779811,False,155,80
779818,False,76,40
779832,False,112,57
779838,False,449,221
779564,False,33,13
779576,False,12,4
779578,False,12,2
779595,False,10,2
779597,False,16,2
779599,False,18,8
779606,False,31,16
779610,False,10,3
779628,False,13,6
779631,False,10,2
779632,False,14,7
779634,False,17,7
779639,False,18,7
779647,False,12,4
779688,False,10,2
779701,False,90,39
779718,False,36,9
779943,False,12,4
779946,False,11,4
779951,False,16,6
779954,False,16,6
779962,False,10,2
779978,False,19,8
780072,False,235,119
780118,False,1061,559
780188,False,71,32
780204,False,66,30
780212,False,365,186
779916,False,34,16
779997,False,12,4
780177,False,12,4
780232,False,17,5
780234,False,28,8
780240,False,34,8
780254,False,17,5
780282,False,21,11
780395,False,15,6
780401,False,11,4
780422,False,34,17
780424,False,15,8
780425,False,28,12
780426,False,17,8
780428,False,13,4
780432,False,15,5
780436,False,11,3
780441,False,12,3
780444,False,35,14
780448,False,12,4
780454,False,10,2
780456,False,24,11
780458,False,13,4
780461,False,14,3
780430,False,9,2
780472,False,20,3
780486,False,938,475
780597,False,458,242
780537,False,14,5
780583,False,15,8
780612,False,14,4
780613,False,11,4
780620,False,47,36
780621,False,154,56
780688,False,23,13
780689,False,459,437
780726,False,71,47
780735,False,55,40
780744,False,32,15
780749,False,43,33
780750,False,35,9
780802,False,39,24
780806,False,12,4
780816,False,16,7
780817,False,12,6
