chunk_id,partial_order,chunk_size,resolution_size
776662,True,18,12
776782,True,113,101
776793,True,6,5
776828,True,5,3
776863,True,6,5
776915,True,5,1
776918,True,4,2
776929,True,3,2
776931,True,7,4
776942,True,5,4
776948,True,45,44
776951,True,3,2
776972,True,6,5
776973,True,9,1
777042,True,7,3
779859,manual,6,7
777089,True,77,70
777082,True,30,18
777222,True,5,3
777238,True,3,1
777216,True,5,4
777218,True,4,2
777285,True,4,2
777286,manual,8,11
777288,True,5,3
777367,manual,1415,750
777309,True,21,19
777310,False,8,6
777313,True,14,11
777316,True,4,1
777318,True,17,12
777328,True,23,12
777352,True,28,8
777364,True,47,33
777370,True,5,5
777371,manual,137,97
777405,False,1650,864
777450,manual,22,21
777577,True,47,31
777582,True,4,2
777871,True,6,5
777498,True,18,7
777507,True,35,24
777537,False,5,5
777675,True,8,4
777703,True,4,2
777705,True,4,2
777702,True,5,3
777715,True,7,5
777717,True,3,2
777726,False,6,4
777741,True,5,3
777744,True,3,2
777748,True,3,2
777749,True,2,1
777775,True,4,1
777777,True,8,5
777778,True,4,3
777779,True,6,4
777783,True,4,3
777784,True,7,6
777789,True,14,8
777790,True,10,9
777793,manual,55,63
777800,True,4,2
777803,manual,8,8
777806,True,8,4
777807,True,4,2
777808,True,4,2
777809,True,4,2
777822,True,4,2
777825,True,4,2
777826,True,5,3
777852,manual,10,14
777854,True,18,12
777856,False,9,9
777903,True,4,2
777947,True,21,7
777939,True,3,1
777940,True,3,1
777942,True,21,16
777948,True,3,1
777949,True,3,1
777950,True,13,12
777952,True,3,1
777954,True,3,1
777955,True,5,4
777956,True,7,6
777957,True,3,1
777958,True,23,22
777959,manual,7,9
777962,True,4,3
777964,True,9,8
777967,True,18,17
777972,True,4,2
777975,True,6,5
777978,True,12,10
777981,True,9,8
778012,True,5,2
778040,manual,68,55
778046,manual,3,8
778052,manual,27,26
778116,True,2,1
778117,True,85,35
778141,True,11,6
778178,True,28,4
778209,True,3,1
778211,True,2,1
778156,True,35,1
778189,True,3,2
778202,True,3,2
778294,True,7,2
778448,True,231,53
778498,manual,136,135
778518,True,14,13
778586,True,42,27
778595,True,13,7
778599,True,4,3
778608,True,69,39
778610,True,19,9
778412,manual,12,8
778415,True,5,3
778416,True,28,8
778423,True,4,2
778424,True,6,4
778473,True,4,2
778476,manual,891,467
778508,manual,841,470
778702,True,7,5
778722,True,26,13
778727,True,11,10
778729,True,6,3
778731,True,4,2
778732,True,8,7
778739,True,6,5
778747,True,4,3
778768,True,3,2
778783,manual,6,9
778786,True,16,13
778845,manual,559,238
778894,manual,44,27
778900,manual,78,45
778943,manual,76,42
778977,True,12,1
778979,True,125,30
778998,manual,89,54
779007,manual,92,51
778801,False,41,40
778868,True,23,10
778886,True,3,1
779095,True,14,7
779457,True,10,5
779501,True,21,10
779040,manual,77,45
779049,manual,57,34
779054,manual,74,43
779064,manual,60,35
779083,manual,76,42
779100,manual,618,315
779228,True,45,14
779255,manual,107,62
779326,manual,3869,1804
779738,True,23,14
779745,manual,163,88
779789,True,10,10
779792,manual,70,43
779794,manual,71,42
779797,manual,612,314
779802,manual,11,14
779807,manual,14,13
779811,manual,150,84
779818,manual,71,44
779832,manual,106,62
779838,manual,443,225
779564,True,26,12
779576,True,5,3
779578,manual,4,7
779595,True,3,1
779597,True,9,1
779599,True,11,7
779606,True,24,15
779610,True,3,2
779628,True,6,5
779631,True,3,1
779632,manual,7,11
779634,True,10,6
779639,True,11,6
779647,True,5,3
779688,True,3,1
779701,True,83,38
779718,True,29,8
779943,True,5,3
779946,True,4,3
779951,manual,9,11
779954,manual,9,11
779962,True,3,1
779978,True,12,7
780072,True,230,118
780118,manual,1056,564
780188,manual,66,37
780204,manual,61,34
780212,manual,360,190
779916,True,28,15
779997,True,5,3
780177,True,5,3
780232,True,10,4
780234,True,21,7
780240,manual,27,13
780254,manual,10,9
780282,True,14,10
780395,True,8,5
780401,True,4,3
780422,True,27,16
780424,True,8,7
780425,True,21,11
780426,True,10,7
780428,True,6,3
780432,True,8,4
780436,True,4,2
780441,True,5,2
780444,True,28,13
780448,True,5,3
780454,True,3,1
780456,True,17,10
780458,True,6,3
780461,True,7,2
780430,True,2,1
780472,True,13,2
780486,manual,931,479
780597,manual,452,247
780537,True,7,4
780583,True,8,7
780612,True,7,3
780613,True,4,3
780620,manual,36,41
780621,True,147,55
780688,True,16,12
780689,False,452,436
780726,manual,63,52
780735,manual,48,45
780744,True,25,14
780749,True,36,32
780750,manual,28,12
780802,manual,32,28
780806,True,5,3
780816,manual,8,12
780817,True,5,5
780830,True,5,5
780832,manual,20,16
780839,True,15,8
780842,True,16,5
780900,True,2,1
780905,True,4,3
780948,True,10,2
780929,True,2,1
780954,True,7,4
780979,True,10,4
781025,True,16,7
781034,True,3,2
781203,True,3,2
781091,True,7,6
781088,True,14,13
781104,manual,203,118
781110,True,16,12
781128,True,42,24
781139,True,4,2
781140,True,11,6
781162,True,3,2
781208,manual,4,7
781266,True,2,1
781423,True,11,10
781425,True,3,2
781511,manual,131,8
781692,True,11,7
781695,True,11,7
781699,True,11,7
781756,True,9,7
781760,True,2,1
781778,True,4,2
781841,manual,8,11
781847,True,19,4
781887,True,4,2
781862,True,12,3
781931,True,4,2
781934,True,6,3
781939,manual,11,10
781947,True,7,5
782019,True,11,6
782032,True,52,23
782051,True,23,16
782069,True,4,2
782071,True,9,6
782034,manual,6,8
782073,manual,12,12
782078,True,6,3
782107,True,4,2
782117,True,4,2
782119,manual,9,9
782121,True,6,3
782124,True,4,2
782126,True,4,2
782132,manual,4,8
782133,True,4,2
782136,True,4,2
782138,True,4,2
782141,True,4,2
782144,manual,4,8
782221,True,14,10
782206,True,31,15
782264,True,24,24
782269,True,10,9
782275,manual,11,11
782281,True,2,1
782283,True,4,1
782285,manual,19,16
782357,False,16,7
782339,manual,13,9
782377,manual,14,8
782380,True,26,2
782466,False,19,16
782473,True,91,66
782547,True,5,2
782557,True,36,19
782644,manual,113,84
782649,manual,903,503
782674,True,6,3
782676,True,6,3
782684,manual,6,9
782685,True,33,32
782686,True,6,1
782705,True,3,1
782709,manual,14,10
782714,True,6,5
782720,True,10,6
782725,True,8,4
782730,True,4,2
782738,True,7,6
782750,True,22,6
782728,True,69,4
782757,True,20,10
782790,manual,6,10
782797,True,2,1
782799,manual,41,51
782855,True,20,13
782893,True,5,6
782948,True,8,1
783171,True,2,1
783248,True,7,6
783183,True,3,2
783308,True,14,7
783316,True,3,2
783340,True,4,2
783342,True,7,4
783363,True,4,1
783364,True,4,1
783398,True,7,6
783392,manual,4,8
783393,True,3,2
783420,True,4,2
783433,False,8,6
783512,True,4,3
783514,True,6,4
783525,manual,20,18
783545,True,4,1
783552,True,3,2
783555,True,4,2
783558,True,4,2
783563,True,4,2
783607,manual,14,13
783954,True,8,3
784003,True,3,1
784004,manual,10,8
784012,True,8,5
784025,manual,436,218
784115,manual,250,129
784145,True,11,10
784197,True,31,23
784301,True,97,51
784318,True,18,15
784323,True,38,35
784341,True,5,2
784355,True,4,1
784359,manual,31,33
784466,manual,64,56
784478,True,4,2
784493,manual,473,239
785547,True,10,7
786562,manual,108,78
786223,True,20,18
786381,manual,50,26
786461,manual,20,24
786466,True,5,3
786468,manual,32,18
786501,manual,31,37
786879,True,3,2
787045,manual,140,13
787439,True,3,2
787384,manual,16,21
787433,True,10,6
787623,True,25,13
787631,True,13,11
787656,manual,12,9
787675,True,2,1
787686,True,3,1
787688,True,4,1
787696,True,45,22
787723,True,4,3
787689,True,3,2
787692,True,3,2
787694,True,3,2
787697,True,3,2
787699,True,3,2
787701,True,3,2
787704,manual,3,8
787708,True,3,2
787710,True,3,2
787714,True,3,2
787715,True,3,2
787720,manual,33,39
788175,True,3,2
788192,True,5,3
788198,True,22,14
788206,manual,9,14
788230,True,4,2
788259,True,21,20
788278,True,4,2
788297,manual,161,108
789158,True,7,3
789169,True,7,6
787818,True,34,18
787831,True,3,2
787843,True,25,20
788349,manual,10,12
788358,True,7,3
788389,manual,55,12
788406,True,3,3
788428,True,2,1
788486,True,2,1
788488,True,9,7
788494,True,15,9
788499,True,14,8
788543,True,14,12
788554,True,13,12
788568,True,19,15
788662,True,4,3
788667,True,3,2
788752,True,13,6
788783,manual,20,16
788812,True,15,9
788835,True,3,1
788896,manual,13,16
788902,True,14,1
789026,True,5,4
789028,True,7,5
789131,True,5,3
789137,True,4,2
789159,True,3,1
789162,True,5,3
789206,True,5,4
789223,True,4,3
789225,True,8,1
789229,True,4,2
789233,True,6,1
789320,True,9,4
