chunk_id,v1_percentage,v2_percentage,intersection_percentage,chunk_composition,missing_v1_lines,missing_v2_lines,missing_v1_lines_perc,missing_v2_lines_perc,v1_size,v2_size
776662,0.42,0.92,0.33, v1 v2 (v1_2) v1 (v1_2) v1 v2,1,1,16.67,8.33,6,12
776782,0.57,0.75,0.32, v2 v1 (v1_2) v1 (v1_2) v1 (v1_2) v2 (v1_2) v2 (v1_2) v2 (v1_2) v2 (v1_2) v2 (v1_2) v2 (v1_2) v1 (v1_2) v1 v2 v1 v2 v1 v2 v1 v2 v1 v2,2,4,6.06,7.55,33,53
776793,0.75,0.25,0.0, v2 v1,1,0,25.0,0.0,4,1
776828,0.33,0.67,0.0, v2 v1 v2,2,0,66.67,0.0,3,2
776863,0.25,0.75,0.0, v2 v1,0,1,0.0,25.0,1,4
776915,1.0,0.0,0.0, v1,2,2,66.67,100.0,3,2
776918,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
776929,0.5,0.5,0.0, v1 v2,0,1,0.0,50.0,1,2
776931,0.75,0.25,0.0, v1 v2,1,2,25.0,66.67,4,3
776942,0.33,0.67,0.0, v2 v1,0,1,0.0,33.33,1,3
776948,0.74,0.87,0.61, v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 v2 v1,0,1,0.0,3.85,13,26
776951,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
776972,0.2,0.8,0.0, v2 v1 v2,0,1,0.0,20.0,1,5
776973,1.0,0.0,0.0, v1,7,0,87.5,0.0,8,0
777042,0.0,1.0,0.0, v2,0,4,0.0,57.14,0,7
779859,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777089,0.43,0.63,0.06, v1 (v1_2) v1 v2,0,5,0.0,13.89,19,36
777082,0.83,0.61,0.44, v1 (v1_2) v2 (v1_2) v1 (v1_2) v2 (v1_2) v1 (v1_2) v2 (v1_2) v1 (v1_2) v1 (v1_2) v1,3,1,16.67,8.33,18,12
777222,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
777238,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777216,0.67,0.33,0.0, v1 v2,1,0,33.33,0.0,3,1
777218,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777285,0.5,0.5,0.0, v2 v1,1,1,50.0,50.0,2,2
777286,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777288,0.33,0.67,0.0, v1 v2,1,1,50.0,33.33,2,3
777367,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777309,0.0,1.0,0.0, v2,0,2,0.0,9.52,0,21
777310,0.4,0.6,0.0, v2 v1 v2 v1 v2,3,0,60.0,0.0,5,3
777313,0.09,0.91,0.0, v1 v2,3,0,75.0,0.0,4,10
777316,0.0,1.0,0.0, v2,1,2,100.0,66.67,1,3
777318,0.5,0.8,0.3, v2 (v1_2) v1 (v1_2) v2 v1,0,2,0.0,20.0,4,10
777328,0.42,0.92,0.33, v2 (v1_2) v1 (v1_2) v1 v2 (v1_2) v2,5,1,50.0,8.33,10,12
777352,0.83,0.67,0.5, (v1_2) v1 (v1_2) v1 v2,0,15,0.0,78.95,5,19
777364,0.15,0.85,0.0, v1 v2,0,12,0.0,34.29,4,35
777370,0.6,0.4,0.0, v1 v2 v1,0,0,0.0,0.0,3,2
777371,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
