chunk_id,partial_order,chunk_size,resolution_size,order of the first line that violates the partial order matters within chunk’s scope?,notes
1005160,False,21,10,yes,"The line that is violating the partial order contains an import statement. However, the scope of the chunk includes an annotation and not only import statements."
1155275,False,61,53,yes,closing brackets (})
826948,False,56,29,yes,variable declaration and assignment
946483,False,52,43,yes,closing brackets (})
1108391,False,82,48,yes,many lines are out of order and the chunk’s scope includes different methods boundaries
1384446,False,16,8,no,import statements. Scope includes only imports
996525,False,14,5,yes,closing brackets (})
1466045,False,20,9,no,a variable declaration that appeared in the beginning of v2 was moved to the end of the resolution
1052371,False,76,69,yes,comment line within a block
936934,False,27,19,yes,annotation
976350,False,18,6,no,import statements. Scope includes only imports
936950,False,27,19,yes,annotation
977668,False,16,7,yes,closing brackets (})
778801,False,48,40,no,a variable declaration that appeared in the beginning of v2 was moved to the end of the resolution
1161479,False,10,3,no,import statements. Scope includes only imports
1171213,False,21,8,yes,method invocation
964065,False,15,6,no,import statements. Scope includes only imports
1136105,False,53,49,yes,closing brackets (})
972115,False,226,120,yes,"line of a comment block. If put outside of the comment block, the syntax would be invalid"
1035970,False,15,5,no,import statements. Scope includes only imports
823932,False,29,22,yes,opening comment block (/**)
791115,False,13,7,yes,method invocation
976037,False,16,3,no,import statements. Scope includes only imports
794240,False,217,143,yes,method invocation
1288345,False,13,4,no,import statements. Scope includes only imports
1052560,False,23,2,yes,method invocation
1466039,False,17,7,yes,A variable declaration that is wrapped into two lines.
1161169,False,19,11,no,import statements. Scope includes only imports
1161195,False,18,11,no,import statements. Scope includes only imports
777310,False,15,6,yes,if statement
