,chunk_id,constructs,solution
81,777948,"assert statement, comment, method invocation","        b2.do_normal_white_move('h','2','h','4');
        assert(b2.toFEN().equals(""k7/8/P7/8/6pP/8/8/K7 b - h3 0 3""));
        b2.do_normal_black_move('g','4','h','3');
        assert(b2.toFEN().equals(""k7/8/P7/8/8/7p/8/K7 w - - 0 4""));
      }
      // testing setting and resetting
      {
"
276,781756,"import, interface declaration","import java.util.Set;

public interface BinarySpecInternal extends BinarySpec {
    ModelType<BinarySpec> PUBLIC_MODEL_TYPE = ModelType.of(BinarySpec.class);
    
    /**
     * Return all language source sets.
     * This method is overridden by NativeTestSuiteBinarySpec to include the source sets from the tested binary.
     */
    Set<LanguageSourceSet> getAllSources();

    void setBinarySources(FunctionalSourceSet sources);

"
330,782705,,"
    ModuleVersionArtifactMetaData artifact(Artifact artifact);

    ModuleVersionArtifactMetaData artifact(String type, @Nullable String extension, @Nullable String classifier);

    boolean isMetaDataOnly();
}
"
890,797447,,"	}


	@Override
	public boolean isTotalFinalized(ObjectContainer container) {
		if(finished && succeeded) return true;
		if(progressPending == null) return false;
		else {
"
1073,804832,,"import java.util.List;
import java.util.Map;

import javax.faces.context.ExternalContext;
import javax.faces.context.FacesContext;
import javax.security.auth.callback.CallbackHandler;
import javax.security.auth.login.LoginContext;
import javax.security.auth.login.LoginException;
"
1312,818927,,"import voldemort.annotations.jmx.JmxManaged;
import voldemort.server.AbstractSocketService;
import voldemort.server.ServiceType;
import voldemort.server.StatusManager;
import voldemort.server.protocol.RequestHandlerFactory;
import voldemort.utils.JmxUtils;

/**
 * The VoldemortService that loads up the socket server
"
2461,932676,,"  public void _testSingleThreadFailure(MockDirectoryWrapper.Failure failure) throws IOException {
    MockDirectoryWrapper dir = newMockDirectory();

    IndexWriterConfig iwc = newIndexWriterConfig(new MockAnalyzer(random()))
      .setMaxBufferedDocs(2)
      .setMergeScheduler(new ConcurrentMergeScheduler())
      .setCommitOnClose(false);

    if (iwc.getMergeScheduler() instanceof ConcurrentMergeScheduler) {
      iwc.setMergeScheduler(new SuppressingConcurrentMergeScheduler() {
          @Override
          protected boolean isOK(Throwable th) {
            return th instanceof AlreadyClosedException ||
              (th instanceof IllegalStateException && th.getMessage().contains(""this writer hit an unrecoverable error""));
          }
        });
    }

    IndexWriter writer = new IndexWriter(dir, iwc);
    FieldTypes fieldTypes = writer.getFieldTypes();
    fieldTypes.enableTermVectors(""field"");
    fieldTypes.enableTermVectorOffsets(""field"");
    fieldTypes.enableTermVectorPositions(""field"");
    final Document doc = writer.newDocument();
    doc.addLargeText(""field"", ""aaa bbb ccc ddd eee fff ggg hhh iii jjj"");

    for(int i=0;i<6;i++) {
      writer.addDocument(doc);
    }

"
2565,933301,,"import org.graylog2.rest.helpers.OutputFilter;
import org.graylog2.rest.models.system.outputs.responses.OutputSummary;
import org.graylog2.rest.resources.streams.outputs.AvailableOutputSummary;
import org.graylog2.rest.resources.streams.outputs.OutputListResponse;
import org.graylog2.shared.rest.resources.RestResource;
import org.graylog2.shared.security.RestPermissions;
import org.graylog2.streams.OutputService;
import org.graylog2.streams.outputs.CreateOutputRequest;
import org.graylog2.utilities.ConfigurationMapConverter;
"
2589,933461,,"import org.graylog2.rest.resources.users.responses.UserList;
import org.graylog2.security.AccessToken;
import org.graylog2.security.AccessTokenService;
import org.graylog2.shared.security.RestPermissions;
import org.graylog2.shared.rest.resources.RestResource;
import org.graylog2.shared.users.UserService;
import org.joda.time.DateTimeZone;
import org.slf4j.Logger;
"
2792,935707,,"        return percolatorQueriesRegistry.stats();
    }

    public IndexEventListener getIndexEventListener() {
        return indexEventListener;
    }

    /**
     * Asynchronously refreshes the engine for new search operations to reflect the latest
     * changes.
     */
    public void refreshAsync(final String reason) {
        engineConfig.getThreadPool().executor(ThreadPool.Names.REFRESH).execute(new Runnable() {
                @Override
                public void run() {
                    try {
                        refresh(reason);
                    } catch (EngineClosedException ex) {
                        // ignore
                    }
                }
            });
    }

    final class EngineRefresher implements Runnable {
        @Override
        public void run() {
            // we check before if a refresh is needed, if not, we reschedule, otherwise, we fork, refresh, and then reschedule
"
2815,930173,,"     * @param keys
     * @return Multi bulk reply
     */
    public List<String> mget(final String... keys) {
        runChecks();
        client.mget(keys);
        return client.getMultiBulkReply();
    }
"
3252,939577,,"     * @param termVectors Stores the actual term vectors as a {@link BytesRef}.
     */
    public TermVectorsFields(BytesReference headerRef, BytesReference termVectors) throws IOException {
        StreamInput header = StreamInput.wrap(headerRef.toBytesArray());
        fieldMap = new ObjectLongHashMap<>();
        // here we read the header to fill the field offset map
        String headerString = header.readString();
"
3331,942185,,"	private final static Pattern prioPattern = Pattern.compile(""\\(([A-Z])\\) (.*)"");

	private final static Pattern contextPattern = Pattern.compile(""@(\\w+)"");
	
	private static File storageDirectory = null;
	
	public static File getStorageDirectory()
	{
		return storageDirectory;
	}

	public static Task createTask(int id, String line){
		Matcher m = prioPattern.matcher(line);
"
3363,943472,,"		decisionId = i.getIntExtra(MemorizingTrustManager.DECISION_INTENT_ID, MTMDecision.DECISION_INVALID);
		int titleId = i.getIntExtra(MemorizingTrustManager.DECISION_TITLE_ID, R.string.mtm_accept_cert);
		String cert = i.getStringExtra(MemorizingTrustManager.DECISION_INTENT_CERT);
		LOGGER.log(Level.FINE, ""onResume with "" + i.getExtras() + "" decId="" + decisionId + "" data: "" + i.getData());
		dialog = new AlertDialog.Builder(this).setTitle(titleId)
			.setMessage(cert)
			.setPositiveButton(R.string.mtm_decision_always, this)
			.setNeutralButton(R.string.mtm_decision_once, this)
"
